"","Est.Lag3","2.5%-Lag3","97.5%-Lag3","SE","MF","Region"
"1",1.03252884768929,0.983116412574886,1.08442480226559,0.0250202174801368,"Relative Humidity","Antofagasta"
"2",1.01898568859117,0.934456851072809,1.11116081214619,0.0441832282084001,"Relative Humidity","Arica"
"3",1.01893507749441,0.941462542384184,1.10278279316275,0.0403470459527418,"Relative Humidity","Atacama"
"4",1.01278080975637,0.973884917778085,1.05323016086023,0.0199809595362838,"Relative Humidity","Aysen"
"5",1.0328505403697,1.01404007464423,1.0520099406488,0.00937775849794314,"Relative Humidity","Biobio"
"6",0.956888784689437,0.917016930621295,0.998494265143032,0.0217153159184973,"Relative Humidity","Coquimbo"
"7",0.99521066444509,0.983115023532483,1.00745512266349,0.00623904921434658,"Relative Humidity","La.Araucania"
"8",1.02625471805158,0.989343682606713,1.06454285284176,0.0186888544867713,"Relative Humidity","Los.Lagos"
"9",0.996403572798207,0.969893351211221,1.02363840173271,0.0137585440616206,"Relative Humidity","Los.Rios"
"10",1.09466752770728,0.990215011630677,1.21013818427516,0.0511661776745773,"Relative Humidity","Magallanes"
"11",1.05092130612339,1.01560701194613,1.08746353527803,0.0174394728970515,"Relative Humidity","Maule"
"12",1.0094096679822,0.997451667925452,1.02151102713088,0.00608034510899879,"Relative Humidity","Metropolitana.de.Santiago"
"13",0.992986750489154,0.975847763705494,1.01042675232751,0.00888318701018596,"Relative Humidity","Nuble"
"14",1.01385929387811,0.999717545911032,1.02820108738444,0.00716677765717983,"Relative Humidity","O.Higgins"
"15",1.03134917915301,0.966412765239509,1.10064888171874,0.0331802375473305,"Relative Humidity","Tarapaca"
"16",0.977221612496307,0.960738198431921,0.993987832989814,0.00867950144264293,"Relative Humidity","Valparaiso"
"17",1.04037557374047,0.870095131659545,1.24398045116212,0.0911927487162004,"Precipitation","Antofagasta"
"18",0.329316614981057,0.112407861554752,0.964785126258786,0.54842118241486,"Precipitation","Arica"
"19",1.04397267388701,0.962614397784407,1.13220719151022,0.0413965156309392,"Precipitation","Atacama"
"20",1.00319820231158,0.991820278385533,1.01470665104711,0.00581972838468446,"Precipitation","Aysen"
"21",1.0056094288054,1.00202177580595,1.00920992708861,0.00182351298721087,"Precipitation","Biobio"
"22",1.00932509635134,0.992756943364224,1.0261697557837,0.00844469649133776,"Precipitation","Coquimbo"
